id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp,created_at_ist,violation_items,parking_violation,date,month,weekday,hour,is_peak_hour,is_weekend,near_junction,violation_severity,vehicle_pcu,junction_weight,peak_weight,grid_lat,grid_lon,grid_id,incident_impact
FKID000000,12.9255567,77.618665,"18th Main Road, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560068 (India)",FKN00GL0000,CAR,,"[""WRONG PARKING"",""PARKING NEAR ROAD CROSSING""]","[112,104]",2023-11-20 00:28:46+00,,2023-11-28 04:48:04.582978+00,FKDEV00000,FKUSR00000,9.0,Madiwala,True,No Junction,,,FKN00GL0000,MAXI-CAB,approved,2023-11-30 03:08:24.818+00,2023-11-20 05:58:46+05:30,"['WRONG PARKING', 'PARKING NEAR ROAD CROSSING']",True,2023-11-20,2023-11,Monday,5,0,0,0,1.6,1.0,1.0,1.0,12.926,77.619,"12.926,77.619",1.6
FKID000001,12.9054633,77.7007781,"Sarjapura Main Road, The Grove, Janatha Colony, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",FKN00GL0001,CAR,,"[""NO PARKING""]",[113],2023-11-24 22:46:46+00,,2023-11-24 23:00:24.115257+00,FKDEV00001,FKUSR00001,82.0,Bellandur,False,No Junction,,,,,,,2023-11-25 04:16:46+05:30,['NO PARKING'],True,2023-11-25,2023-11,Saturday,4,0,1,0,1.0,1.0,1.0,1.0,12.905,77.701,"12.905,77.701",1.0
FKID000002,12.9254492,77.6185035,"Koramangala 2nd Block, Kormangala West, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",FKN00GL0002,CAR,,"[""WRONG PARKING"",""PARKING IN A MAIN ROAD""]","[112,107]",2023-11-20 00:27:46+00,,2023-11-28 04:47:02.33776+00,FKDEV00000,FKUSR00000,9.0,Madiwala,True,No Junction,,,FKN00GL0002,MAXI-CAB,approved,2023-11-30 03:08:56.998+00,2023-11-20 05:57:46+05:30,"['WRONG PARKING', 'PARKING IN A MAIN ROAD']",True,2023-11-20,2023-11,Monday,5,0,0,0,1.4,1.0,1.0,1.0,12.925,77.619,"12.925,77.619",1.4
FKID000003,12.956521,77.5186178,"6th Cross Road, Manasa Layout, Nagarbhavi, Bengaluru, Karnataka. Pin-560072 (India)",FKN00GL0003,SCOOTER,,"[""NO PARKING""]",[113],2023-11-16 06:47:46+00,,2023-11-18 04:46:57.216868+00,FKDEV00002,FKUSR00002,26.0,Byatarayanapura,True,No Junction,,,FKN00GL0003,SCOOTER,approved,2023-11-18 23:35:12.428+00,2023-11-16 12:17:46+05:30,['NO PARKING'],True,2023-11-16,2023-11,Thursday,12,0,0,0,1.0,0.4,1.0,1.0,12.957,77.519,"12.957,77.519",0.4
FKID000004,12.9777667,77.5805453,"Kalidasa Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",FKN00GL0004,TANKER,,"[""NO PARKING""]",[113],2023-11-22 04:56:46+00,,2023-11-28 02:44:50.46737+00,FKDEV00003,FKUSR00003,3.0,Upparpet,True,BTP044 - Sagar Theatre Junction,,,FKN00GL0004,TANKER,approved,2023-11-30 03:11:32.796+00,2023-11-22 10:26:46+05:30,['NO PARKING'],True,2023-11-22,2023-11,Wednesday,10,1,0,1,1.0,2.2,1.25,1.2,12.978,77.581,"12.978,77.581",3.3
FKID000005,12.9816772,77.6081248,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",FKN00GL0005,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 07:04:46+00,,2023-11-28 07:06:06.684969+00,FKDEV00004,FKUSR00004,16.0,Shivajinagar,True,BTP051 - Safina Plaza Junction,,,FKN00GL0005,SCOOTER,approved,2023-11-30 04:32:19.24+00,2023-11-28 12:34:46+05:30,['NO PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,1,1.0,0.4,1.25,1.0,12.982,77.608,"12.982,77.608",0.5
FKID000006,12.9955535,77.6137265,"1st Cross Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0006,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 06:55:46+00,,2023-11-28 07:05:56.378259+00,FKDEV00005,FKUSR00005,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0006,SCOOTER,approved,2023-11-30 04:32:20.585+00,2023-11-28 12:25:46+05:30,['NO PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,0,1.0,0.4,1.0,1.0,12.996,77.614,"12.996,77.614",0.4
FKID000007,12.9978696,77.5438903,"Padmabhushan Dr MC Modi Road, Adarsha Layout, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",FKN00GL0007,SCOOTER,,"[""WRONG PARKING""]",[112],2023-11-28 06:35:46+00,,2023-11-28 07:04:59.161864+00,FKDEV00006,FKUSR00006,30.0,Vijayanagara,True,BTP205 - Modi Hospital Junction,,,FKN00GL0007,SCOOTER,approved,2023-11-30 04:32:49.436+00,2023-11-28 12:05:46+05:30,['WRONG PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,1,1.05,0.4,1.25,1.0,12.998,77.544,"12.998,77.544",0.525
FKID000008,12.9954021,77.6139993,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0008,PASSENGER AUTO,,"[""NO PARKING""]",[113],2023-11-28 06:56:46+00,,2023-11-28 07:04:24.450788+00,FKDEV00005,FKUSR00005,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0008,PASSENGER AUTO,approved,2023-11-30 04:34:24.617+00,2023-11-28 12:26:46+05:30,['NO PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,0,1.0,0.75,1.0,1.0,12.995,77.614,"12.995,77.614",0.75
FKID000009,12.9954054,77.6140177,"Coles Road, Silver Enclave, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL0009,SCOOTER,,"[""NO PARKING""]",[113],2023-11-28 06:57:46+00,,2023-11-28 07:03:59.927111+00,FKDEV00005,FKUSR00005,14.0,Pulikeshinagar(F.Town),True,No Junction,,,FKN00GL0009,SCOOTER,approved,2023-11-30 04:34:21.682+00,2023-11-28 12:27:46+05:30,['NO PARKING'],True,2023-11-28,2023-11,Tuesday,12,0,0,0,1.0,0.4,1.0,1.0,12.995,77.614,"12.995,77.614",0.4
