priority_rank,grid_id,latitude,longitude,grid_lat,grid_lon,violation_count,unique_vehicles,impact_sum,impact_avg,peak_hour_share,junction_share,active_days,police_station,junction_name,top_vehicle_type,repeat_density,parking_violation_frequency_score,repeat_hotspot_density_score,junction_proximity_score,peak_hour_weight_score,vehicle_blockage_score,parking_violation_density_score,estimated_speed_drop_score,road_occupancy_score,road_importance_score,congestion_impact_score,score_formula,risk_band,recommended_action
1,"12.981,77.61",12.981083513578422,77.61013528841559,12.981,77.61,4411,3538,4760.6125,1.0792592382679664,0.4930854681478123,1.0,149,Shivajinagar,BTP051 - Safina Plaza Junction,PASSENGER AUTO,29.604026845637584,100.0,55.00774393391843,100.0,49.30854681478123,14.882841597305438,100.0,100.0,14.882841597305438,100.0,75.17107482468826,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,High,Focused patrol during top 2 peak hours
2,"12.964,77.577",12.964077901563494,77.5768995240612,12.964,77.577,3745,3170,3184.6150000000002,0.8503644859813084,0.17356475300400534,1.0,149,City Market,BTP082 - KR Market Junction,SCOOTER,25.13422818791946,97.87451807467473,46.411977284460505,100.0,17.356475300400533,10.211520122067519,97.87451807467473,81.79375054525563,10.211520122067519,100.0,68.50960109323184,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,High,Focused patrol during top 2 peak hours
3,"12.977,77.576",12.977186446651997,77.57613171631563,12.977,77.576,3181,2563,2399.7275,0.7543940584721786,0.410877082678403,1.0,146,Upparpet,BTP040 - Elite Junction,SCOOTER,21.78767123287671,95.75502169398963,39.97629083245521,100.0,41.0877082678403,8.252939968819971,95.75502169398963,88.37261005263818,8.252939968819971,100.0,68.23014620937569,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,High,Focused patrol during top 2 peak hours
4,"12.973,77.579",12.973088122738801,77.579035767836,12.973,77.579,2366,1586,1683.385,0.7114898562975486,0.42054099746407436,1.0,113,Upparpet,BTP044 - Sagar Theatre Junction,SCOOTER,20.938053097345133,91.91180762253235,38.34240980258679,100.0,42.05409974640744,7.37734400607242,91.91180762253235,84.58910571087547,7.37734400607242,100.0,66.29346987490761,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,High,Focused patrol during top 2 peak hours
5,"12.965,77.576",12.964683566373512,77.57617047206416,12.965,77.576,1933,1656,1290.548125,0.6676400025866529,0.3429901707190895,1.0,111,City Market,BTP082 - KR Market Junction,SCOOTER,17.414414414414413,89.28764074730043,31.566181566181562,100.0,34.29901707190895,6.482449032380671,89.28764074730043,78.59070736253967,6.482449032380671,100.0,62.684748300894526,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,High,Focused patrol during top 2 peak hours
6,"12.982,77.606",12.98203888522829,77.60631703724262,12.982,77.606,1117,626,692.001875,0.6195182408236348,0.5917636526410027,1.0,61,Shivajinagar,BTP051 - Safina Plaza Junction,SCOOTER,18.311475409836067,82.16913751419823,33.29129886506936,100.0,59.17636526410027,5.500372261706834,82.16913751419823,79.92184634431997,5.500372261706834,100.0,62.65815347452734,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,High,Focused patrol during top 2 peak hours
7,"12.974,77.545",12.974176691506228,77.54500246659116,12.974,77.545,1766,1139,1042.8,0.5904869762174405,0.30973952434881086,1.0,99,Vijayanagara,BTP020 - Hosahalli Metro Station,SCOOTER,17.838383838383837,88.11465786564293,32.381507381507376,100.0,30.973952434881085,4.907897473825316,88.11465786564293,74.97387631546381,4.907897473825316,100.0,61.92942498250465,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,High,Focused patrol during top 2 peak hours
8,"12.977,77.577",12.977003156528578,77.57706455133717,12.977,77.577,1907,1621,2041.305625,1.0704277005768221,0.39643418982695333,1.0,145,Upparpet,BTP040 - Elite Junction,CAR,13.151724137931035,89.11183952419981,23.36870026525199,100.0,39.64341898269533,14.702606134220858,89.11183952419981,85.9079002917424,14.702606134220858,100.0,61.921513387684534,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,High,Focused patrol during top 2 peak hours
9,"12.976,77.577",12.976102326406686,77.57725434222841,12.976,77.577,1795,1463,1307.77625,0.7285661559888579,0.4200557103064067,1.0,124,Upparpet,BTP040 - Elite Junction,SCOOTER,14.475806451612904,88.32609975995092,25.91501240694789,100.0,42.005571030640674,7.725839918139957,88.32609975995092,81.60045402408134,7.725839918139957,100.0,61.7823341005954,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,High,Focused patrol during top 2 peak hours
10,"12.984,77.603",12.98419388496058,77.60320002601576,12.984,77.603,1649,1451,1704.613125,1.033725363856883,0.3693147362037599,1.0,116,Shivajinagar,BTP211 - Central Street Junction,PASSENGER AUTO,14.21551724137931,87.22482187211008,25.41445623342175,100.0,36.93147362037599,13.953578854222105,87.22482187211008,82.76600010620726,13.953578854222105,100.0,61.33204805465928,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,High,Focused patrol during top 2 peak hours
11,"12.984,77.604",12.984000441963191,77.6036676590184,12.984,77.604,1630,1474,1706.108125,1.0466921012269939,0.3423312883435583,1.0,120,Shivajinagar,BTP211 - Central Street Junction,PASSENGER AUTO,13.583333333333334,87.0743859680706,24.19871794871795,100.0,34.23312883435583,14.21820614748967,87.0743859680706,81.73796650653256,14.21820614748967,100.0,60.72456737259228,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,High,Focused patrol during top 2 peak hours
12,"12.934,77.691",12.933868001674734,77.69086837725041,12.934,77.691,3343,1519,1807.8075,0.5407740053843852,0.2674244690397846,0.0,85,HAL Old Airport,No Junction,SCOOTER,39.32941176470588,96.40001684680131,73.71040723981899,0.0,26.74244690397846,3.8933470486609236,96.40001684680131,79.4916425054515,3.8933470486609236,0.0,60.05118794393921,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,High,Focused patrol during top 2 peak hours
13,"12.982,77.608",12.981729046022728,77.60815689673296,12.982,77.608,1408,1168,1350.55375,0.9592001065340909,0.4928977272727273,1.0,137,Shivajinagar,BTP051 - Safina Plaza Junction,PASSENGER AUTO,10.277372262773723,85.17395340277828,17.841100505334083,100.0,49.28977272727273,12.43265523538961,85.17395340277828,84.69351504344003,12.43265523538961,100.0,59.702099283711064,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
14,"12.976,77.578",12.97605577986744,77.5781520706711,12.976,77.578,1207,999,891.965,0.738993371996686,0.48301574150787074,1.0,93,Upparpet,BTP044 - Sagar Theatre Junction,SCOOTER,12.978494623655914,83.1747923575465,23.03556658395368,100.0,48.301574150787076,7.938640244830326,83.1747923575465,79.3115704850117,7.938640244830326,100.0,59.652830028568765,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
15,"12.965,77.539",12.964869075141685,77.5388754314141,12.965,77.539,1402,1314,983.69375,0.7016360556348075,0.16761768901569188,1.0,79,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",SCOOTER,17.746835443037973,85.11852455279869,32.20545277507302,100.0,16.761768901569187,7.176246033363418,85.11852455279869,69.25740030886962,7.176246033363418,100.0,59.49257450838099,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
16,"12.975,77.576",12.975338713625685,77.57613988888018,12.975,77.576,1277,1098,1060.0,0.8300704776820673,0.4635865309318716,1.0,111,Upparpet,BTP040 - Elite Junction,SCOOTER,11.504504504504505,83.90645521304702,20.2009702009702,100.0,46.35865309318716,9.79735668738913,83.90645521304702,80.69758305482601,9.79735668738913,100.0,59.22842561351899,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
17,"12.98,77.607",12.979780905111111,77.607192028,12.98,77.607,1350,945,1172.3175,0.8683833333333334,0.4192592592592593,1.0,122,Shivajinagar,BTP051 - Safina Plaza Junction,SCOOTER,11.065573770491802,84.62796662165,19.35687263556116,100.0,41.92592592592593,10.579251700680272,84.62796662165,80.28524589589804,10.579251700680272,100.0,58.94092257021091,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
18,"13.0,77.55",13.000026266409181,77.54983345235279,13.0,77.55,1327,1079,987.00375,0.7437857950263752,0.4468726450640543,1.0,120,Malleshwaram,BTP027 - Modi Bridge Junction,SCOOTER,11.058333333333334,84.40493570571338,19.34294871794872,100.0,44.68726450640543,8.036444796456637,84.40493570571338,79.24669696740727,8.036444796456637,100.0,58.87008239205875,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
19,"12.977,77.58",12.976957232935561,77.57998196475737,12.977,77.58,1257,1119,1682.6512500000001,1.3386247016706445,0.4081145584725537,1.0,132,Upparpet,BTP044 - Sagar Theatre Junction,CAR,9.522727272727273,83.7015801852805,16.38986013986014,100.0,40.81145584725537,20.17601431980907,83.7015801852805,84.10678989858907,20.17601431980907,100.0,58.676844125783674,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
20,"12.981,77.609",12.981358564951357,77.60890098808918,12.981,77.609,1074,948,1226.293125,1.1417999301675976,0.5493482309124768,1.0,127,Shivajinagar,BTP051 - Safina Plaza Junction,CAR,8.456692913385826,81.6597072223323,14.339794064203511,100.0,54.93482309124767,16.15918224831832,81.6597072223323,85.59741397899792,16.15918224831832,100.0,58.3582319389404,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
21,"12.965,77.584",12.964926944929926,77.58404453948887,12.965,77.584,1213,1149,918.629375,0.7573201772464963,0.42126957955482275,1.0,107,Halasuru Gate,"BTP080 - NR Road, SP Road Junction",SCOOTER,11.336448598130842,83.23914661372027,19.877785765636233,100.0,42.126957955482276,8.312656678499923,83.23914661372027,77.48941971387865,8.312656678499923,100.0,58.309066550295384,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
22,"12.973,77.551",12.973418069773755,77.55100289954751,12.973,77.551,1105,1021,596.2875,0.5396266968325792,0.2742081447963801,1.0,75,Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",SCOOTER,14.733333333333333,82.0289691668748,26.410256410256412,100.0,27.42081447963801,3.8699325884199847,82.0289691668748,67.54703215224758,3.8699325884199847,100.0,57.54322647611982,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
23,"12.981,77.608",12.98100116592179,77.60773138026072,12.981,77.608,1074,679,813.565,0.7575093109869647,0.43854748603351956,1.0,106,Shivajinagar,BTP051 - Safina Plaza Junction,SCOOTER,10.132075471698114,81.6597072223323,17.56168359941945,100.0,43.85474860335196,8.316516550754383,81.6597072223323,76.65923335475368,8.316516550754383,100.0,57.27143030419842,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
24,"12.975,77.545",12.974615745994065,77.54510551097923,12.975,77.545,1011,615,622.984375,0.6162061078140455,0.3818001978239367,1.0,81,Vijayanagara,BTP020 - Hosahalli Metro Station,SCOOTER,12.481481481481481,80.87528598351471,22.079772079772077,100.0,38.18001978239367,5.432777710490725,80.87528598351471,71.60836535420015,5.432777710490725,100.0,57.231337162637345,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
25,"12.933,77.691",12.93318689982447,77.69120397138695,12.933,77.691,2375,1174,1322.541,0.5568593684210527,0.3793684210526316,0.0,69,HAL Old Airport,No Junction,SCOOTER,34.42028985507246,91.96110106866642,64.26978818283166,0.0,37.93684210526316,4.221619763694952,91.96110106866642,80.22069622521427,4.221619763694952,0.0,57.067733660070296,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
26,"12.974,77.579",12.973678509740258,77.5791028080705,12.974,77.579,1078,947,965.78,0.895899814471243,0.4044526901669759,1.0,118,Upparpet,BTP044 - Sagar Theatre Junction,SCOOTER,9.135593220338983,81.7079479740411,15.645371577574968,100.0,40.44526901669759,11.14081254022945,81.7079479740411,77.48074742219293,11.14081254022945,100.0,56.75313023970289,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
27,"12.981,77.598",12.981066963868987,77.59841022405323,12.981,77.598,977,468,560.891875,0.5740960849539407,0.3254861821903787,1.0,75,Shivajinagar,BTP042 - Minsk Square Junction (CTO),SCOOTER,13.026666666666667,80.43140414158671,23.128205128205128,100.0,32.54861821903787,4.573389488855932,80.43140414158671,68.55221556899392,4.573389488855932,100.0,56.66681370947535,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
28,"12.982,77.61",12.981856719789842,77.61018913502626,12.982,77.61,1142,974,1038.570625,0.9094313704028022,0.38966725043782835,0.9903677758318739,130,Shivajinagar,BTP051 - Safina Plaza Junction,SCOOTER,8.784615384615385,82.4563851222548,14.970414201183432,99.03677758318739,38.96672504378284,11.416966742914331,82.4563851222548,77.79847971751425,11.416966742914331,99.03677758318739,56.61904341534561,0.40*ViolationFrequency + 0.25*RepeatHotspotDensity + 0.15*JunctionProximity + 0.10*PeakHourFactor + 0.10*VehicleBlockageWeight,Medium,Warning drive + repeat-offender monitoring
