history,last_month,trend,station,peak_junction,objective,precision_at_50,ndcg_at_50,spearman
0.7,0.3,0.0,0.0,0.0,0.816439,0.6839999999999999,0.93638,0.77234
0.55,0.35,0.1,0.0,0.0,0.8115490000000001,0.6839999999999999,0.93194,0.7588799999999999
0.5,0.3,0.1,0.1,0.0,0.810157,0.664,0.9365,0.7746600000000001
1.0,0.0,0.0,0.0,0.0,0.8096439999999999,0.6639999999999999,0.9324,0.7803199999999999
0.45,0.35,0.1,0.05,0.05,0.8084979999999998,0.668,0.9323599999999999,0.7706799999999999
0.35,0.45,0.1,0.05,0.05,0.8027439999999999,0.66,0.9308799999999999,0.75924
0.4,0.35,0.1,0.1,0.05,0.802013,0.644,0.93306,0.77368
0.3,0.45,0.15,0.05,0.05,0.7998930000000001,0.6639999999999999,0.9286600000000002,0.74998
0.25,0.5,0.1,0.1,0.05,0.7990980000000001,0.652,0.93284,0.7556
0.35,0.35,0.15,0.1,0.05,0.795405,0.636,0.9289,0.7660000000000001
0.3,0.4,0.1,0.1,0.1,0.7945119999999999,0.632,0.9285599999999998,0.7703
0.25,0.45,0.15,0.1,0.05,0.790715,0.632,0.92846,0.75254
